mediaType,title,year
MOVIE,Quiet Days in Clichy,1970
MOVIE,Satanis: The Devil's Mass,1970
MOVIE,Schulmädchen-Report,1970
MOVIE,Scream and Scream Again,1970
MOVIE,Soldier Blue,1970
MOVIE,Space Amoeba,1970
MOVIE,Straight and Narrow,1970
MOVIE,The Bird with the Crystal Plumage,1970
MOVIE,The Boys in the Band,1970
MOVIE,The Butcher,1970
MOVIE,The Clowns,1970
MOVIE,The Honeymoon Killers,1970
MOVIE,The Lickerish Quartet,1970
MOVIE,The Phantom Tollbooth,1970
MOVIE,The Private Life of Sherlock Holmes,1970
MOVIE,The Railway Children,1970
MOVIE,The Spider's Stratagem,1970
MOVIE,The Twelve Chairs,1970
MOVIE,The Vampire Lovers,1970
MOVIE,Too Late the Hero,1970
MOVIE,Trash,1970
MOVIE,Trog,1970
MOVIE,Two Mules for Sister Sara,1970
MOVIE,Valerie and Her Week of Wonders,1970
MOVIE,Where's Poppa?,1970
MOVIE,White Sun of the Desert,1970
MOVIE,Yog: Monster from Space,1970
MOVIE,200 Motels,1971
MOVIE,A Lizard in a Woman's Skin,1971
MOVIE,A Touch of Zen,1971
MOVIE,Bananas,1971
MOVIE,Billy Jack,1971
MOVIE,Blood from the Mummy's Tomb,1971
MOVIE,Boys in the Sand,1971
MOVIE,Brain of Blood,1971
MOVIE,Cemetery Girls,1971
MOVIE,Countess Dracula,1971
MOVIE,Daughters of Darkness,1971
MOVIE,Dracula vs. Frankenstein,1971
MOVIE,Duel,1971
MOVIE,Exposed,1971
MOVIE,Family Life,1971
MOVIE,Get Carter,1971
MOVIE,I Eat Your Skin,1971
MOVIE,Johnny Got His Gun,1971
MOVIE,Lady Frankenstein,1971
MOVIE,Let's Scare Jessica to Death,1971
MOVIE,Malpertuis,1971
MOVIE,Minnie and Moskowitz,1971
MOVIE,Play Misty for Me,1971
MOVIE,Punishment Park,1971
MOVIE,She Killed in Ecstasy,1971
MOVIE,Sometimes Aunt Martha Does Dreadful Things,1971
MOVIE,Straw Dogs,1971
MOVIE,Sympathy for the Underdog,1971
MOVIE,The Act of Seeing with One's Own Eyes,1971
MOVIE,The Anderson Tapes,1971
MOVIE,The Andromeda Strain,1971
MOVIE,The Beguiled,1971
MOVIE,The Blood on Satan's Claw,1971
MOVIE,The Boy Friend,1971
MOVIE,The Corpse Grinders,1971
MOVIE,The Devil's Nightmare,1971
MOVIE,The Devils,1971
MOVIE,The Grissom Gang,1971
MOVIE,The Hired Hand,1971
MOVIE,The House That Dripped Blood,1971
MOVIE,The Incredible 2-Headed Transplant,1971
MOVIE,The Last Movie,1971
MOVIE,The Legend of Doom House,1971
MOVIE,The Moon and the Sledgehammer,1971
MOVIE,The Music Lovers,1971
MOVIE,The New One-Armed Swordsman,1971
MOVIE,The Omega Man,1971
MOVIE,The Panic in Needle Park,1971
MOVIE,The Undying Brain,1971
MOVIE,The Velvet Vampire,1971
MOVIE,They Might Be Giants,1971
MOVIE,THX 1138,1971
MOVIE,Vampyros Lesbos,1971
MOVIE,Vanishing Point,1971
MOVIE,Villain,1971
MOVIE,Viva la Muerte,1971
MOVIE,Walkabout,1971
MOVIE,Wednesday's Child,1971
MOVIE,WR: Mysteries of the Organism,1971
MOVIE,Zachariah,1971
MOVIE,Across 110th Street,1972
MOVIE,"Aguirre, the Wrath of God",1972
MOVIE,All the Colors of the Dark,1972
MOVIE,Asylum,1972
MOVIE,Behind the Green Door,1972
MOVIE,Ben,1972
MOVIE,Blacula,1972
MOVIE,Blast!,1972
MOVIE,Caliber 9,1972
MOVIE,Ciao! Manhattan,1972
MOVIE,Cisco Pike,1972
MOVIE,Cocksucker Blues,1972
MOVIE,Death Line,1972
MOVIE,Deep Throat,1972
MOVIE,Do Gaz Zameen Ke Neeche,1972
MOVIE,Don't Torture a Duckling,1972
MOVIE,Ecstasy of the Angels,1972
MOVIE,Everything You Always Wanted to Know About Sex*,1972
MOVIE,Female Convict Scorpion: Jailhouse 41,1972
MOVIE,Female Prisoner #701: Scorpion,1972
MOVIE,Fist of Fury,1972
MOVIE,Fleshpot on 42nd Street,1972
MOVIE,Fritz the Cat,1972
MOVIE,Girl Boss Guerilla,1972
MOVIE,Godzilla vs. Gigan,1972
MOVIE,Harlis,1972
MOVIE,Heat,1972
MOVIE,Horror Express,1972
MOVIE,Jeremiah Johnson,1972
MOVIE,Justine De Sade,1972
MOVIE,Le diable est parmi nous,1972
MOVIE,Lone Wolf and Cub: Baby Cart at the River Styx,1972
MOVIE,Lucifer Rising,1972
MOVIE,Ludwig: Requiem for a Virgin King,1972
MOVIE,Night of the Bloody Apes,1972
MOVIE,Night of the Lepus,1972
MOVIE,"Play It Again, Sam",1972
MOVIE,Raw Meat,1972
MOVIE,Satan's Sabbath,1972
MOVIE,Silent Running,1972
MOVIE,Sisters,1972
MOVIE,Solaris,1972
MOVIE,Spirit of the Dead,1972
MOVIE,Street Mobster,1972
MOVIE,Tales from the Crypt,1972
MOVIE,The Adventures of Barry McKenzie,1972
MOVIE,The Asphyx,1972
MOVIE,The Bitter Tears of Petra von Kant,1972
MOVIE,The Blood Spattered Bride,1972
MOVIE,The Cannibal Man,1972
MOVIE,The Demon Within,1972
MOVIE,The Erotomaniac Daimyo,1972
MOVIE,The Final Comedown,1972
MOVIE,The Gore Gore Girls,1972
MOVIE,The Happiness Cage,1972
MOVIE,The Harder They Come,1972
MOVIE,The Horror of Death,1972
MOVIE,The Hot Rock,1972
MOVIE,The Last House on the Left,1972
MOVIE,The Mind Snatchers,1972
MOVIE,The Possession of Virginia,1972
MOVIE,The Sensuous Three,1972
MOVIE,The Thing With Two Heads,1972
MOVIE,Tombs of the Blind Dead,1972
MOVIE,Tout va bien,1972
MOVIE,Trouble Man,1972
MOVIE,Ulzana's Raid,1972
MOVIE,"What's Up, Doc?",1972
MOVIE,Battles Without Honor and Humanity,1973
MOVIE,Battles Without Honor and Humanity: Deadly Fight in Hiroshima,1973
MOVIE,Battles Without Honor and Humanity: Proxy War,1973
MOVIE,Belladonna of Sadness,1973
MOVIE,Black Caesar,1973
MOVIE,Black Mama White Mama,1973
MOVIE,Blood Orgy of the She-Devils,1973
MOVIE,Cannibal Girls,1973
MOVIE,Charley Varrick,1973
MOVIE,Coffy,1973
MOVIE,Count Dracula's Great Love,1973
MOVIE,Curse of the Devil,1973
MOVIE,Death Ward #13,1973
MOVIE,Dillinger,1973
MOVIE,Don't Look in the Basement,1973
MOVIE,Don't Look Now,1973
MOVIE,El Retorno de Walpurgis,1973
MOVIE,Electra Glide in Blue,1973
MOVIE,Executive Action,1973
MOVIE,F for Fake,1973
MOVIE,Fantastic Planet,1973
MOVIE,Five on the Black Hand Side,1973
MOVIE,Flesh for Frankenstein,1973
MOVIE,Gordon's War,1973
MOVIE,Heavy Traffic,1973
MOVIE,High Crime,1973
MOVIE,High Plains Drifter,1973
MOVIE,I Will Walk Like a Crazy Horse,1973
MOVIE,Karate Kiba,1973
MOVIE,Kid Blue,1973
MOVIE,La Grande Bouffe,1973
MOVIE,La Planète sauvage,1973
MOVIE,Lady Snowblood,1973
MOVIE,Last House on Massacre Street,1973
MOVIE,My Name Is Nobody,1973
MOVIE,Nightmare Circus,1973
MOVIE,Papillon,1973
MOVIE,Pat Garrett and Billy the Kid,1973
MOVIE,Psychomania,1973
MOVIE,Scarecrow,1973
MOVIE,Schlock,1973
MOVIE,Scream Blacula Scream,1973
MOVIE,Shaft in Africa,1973
MOVIE,Sleeper,1973
MOVIE,Soylent Green,1973
MOVIE,Submersion of Japan,1973
MOVIE,Super Fly T.N.T.,1973
MOVIE,Terminal Island,1973
MOVIE,Terror Circus,1973
MOVIE,The Baby,1973
MOVIE,The Barn of the Naked Dead,1973
MOVIE,The Bodyguard,1973
MOVIE,The Bride,1973
MOVIE,The Crazies,1973
MOVIE,The Day of the Jackal,1973
MOVIE,The Devil in Miss Jones,1973
MOVIE,The Devil's Wedding Night,1973
MOVIE,The Forgotten,1973
MOVIE,The Holy Mountain,1973
MOVIE,The House That Cried Murder,1973
MOVIE,The Mack,1973
MOVIE,The Offence,1973
MOVIE,The Satanic Rites of Dracula,1973
MOVIE,The Tenderness of Wolves,1973
MOVIE,The Werewolf of Washington,1973
MOVIE,The Wicker Man,1973
MOVIE,Theatre of Blood,1973
MOVIE,Thriller – A Cruel Picture,1973
MOVIE,Torso,1973
MOVIE,Turkish Delight,1973
MOVIE,We Can't Go Home Again,1973
MOVIE,Westworld,1973
MOVIE,Ali: Fear Eats the Soul,1974
MOVIE,Battles Without Honor and Humanity: Final Episode,1974
MOVIE,Battles Without Honor and Humanity: Police Tactics,1974
MOVIE,Beyond the Door,1974
MOVIE,Big Bad Mama,1974
MOVIE,Black Christmas,1974
MOVIE,Bring Me the Head of Alfredo Garcia,1974
MOVIE,Caged Heat,1974
MOVIE,California Split,1974
MOVIE,Captain Kronos – Vampire Hunter,1974
MOVIE,Catch My Soul,1974
MOVIE,Cockfighter,1974
MOVIE,Convent of the Sacred Beast,1974
MOVIE,Craze,1974
MOVIE,Dark Star,1974
MOVIE,Deadly Weapons,1974
MOVIE,Death Wish,1974
MOVIE,Earthquake,1974
MOVIE,Edvard Munch,1974
MOVIE,Emmanuelle,1974
MOVIE,Enter the Devil,1974
MOVIE,Escaped Murderer from Hiroshima Prison,1974
MOVIE,Female Trouble,1974
MOVIE,Flavia the Heretic,1974
MOVIE,Flesh Gordon,1974
MOVIE,Flower and Snake,1974
MOVIE,Foxy Brown,1974
MOVIE,Frankenstein's Castle of Freaks,1974
MOVIE,Frightmare,1974
MOVIE,From Beyond the Grave,1974
MOVIE,Going Places,1974
MOVIE,House of Whipcord,1974
MOVIE,"Ilsa, She Wolf of the SS",1974
MOVIE,It's Alive,1974
MOVIE,L'arbitro,1974
MOVIE,Lisa and the Devil,1974
MOVIE,Love and Death,1974
MOVIE,Mariken van Nieumeghen,1974
MOVIE,Phantom of the Paradise,1974
MOVIE,Playing the Field,1974
MOVIE,Primate,1974
MOVIE,Prophecies of Nostradamus,1974
MOVIE,Santa Fe Satan,1974
MOVIE,School of the Holy Beast,1974
MOVIE,Seizure,1974
MOVIE,Shanks,1974
MOVIE,Space Is the Place,1974
MOVIE,Stardust,1974
MOVIE,Successive Slidings of Pleasure,1974
MOVIE,Sweet Movie,1974
MOVIE,The Arena,1974
MOVIE,The Cars That Ate Paris,1974
MOVIE,The Clockmaker,1974
MOVIE,The Eerie Midnight Horror Show,1974
MOVIE,The Execution of Private Slovik,1974
MOVIE,The Executioner II: Karate Inferno,1974
MOVIE,The Legend of the 7 Golden Vampires,1974
MOVIE,The Longest Yard,1974
MOVIE,The Night Porter,1974
MOVIE,The Parallax View,1974
MOVIE,The Rapacious Jailbreaker,1974
MOVIE,The Sexorcist,1974
MOVIE,The Street Fighter,1974
MOVIE,The Taking of Pelham One Two Three,1974
MOVIE,The Tattooed Hitman,1974
MOVIE,The Transgressor,1974
MOVIE,The Watchmaker of St. Paul,1974
MOVIE,The Yakuza,1974
MOVIE,Thomasine & Bushrod,1974
MOVIE,TNT Jackson,1974
MOVIE,Violent Streets,1974
MOVIE,Zardoz,1974
MOVIE,A Boy and His Dog,1975
MOVIE,Black Emanuelle,1975
MOVIE,Black Moon,1975
MOVIE,Champion of Death,1975
MOVIE,Coonskin,1975
MOVIE,Death Race 2000,1975
MOVIE,Deep Red,1975
MOVIE,Dersu Uzala,1975
MOVIE,Dragon Princess,1975
MOVIE,Friday Foster,1975
MOVIE,Graveyard of Honor,1975
MOVIE,Hard Times,1975
MOVIE,Histoire d'O,1975
MOVIE,Hugo the Hippo,1975
MOVIE,I Don't Want to Be Born,1975
MOVIE,Inserts,1975
MOVIE,"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles",1975
MOVIE,Karate Bullfighter,1975
MOVIE,La Bête,1975
MOVIE,Lisztomania,1975
MOVIE,Maîtresse,1975
MOVIE,"Mary, Mary, Bloody Mary",1975
MOVIE,Monty Python and the Holy Grail,1975
MOVIE,Night Moves,1975
MOVIE,Picnic at Hanging Rock,1975
MOVIE,Race with the Devil,1975
MOVIE,Rollerball,1975
MOVIE,"Salò, or the 120 Days of Sodom",1975
MOVIE,Shivers,1975
MOVIE,Sholay,1975
MOVIE,Soul Vengeance,1975
MOVIE,Story of O,1975
MOVIE,Switchblade Sisters,1975
MOVIE,The Beast,1975
MOVIE,The Bullet Train,1975
MOVIE,The Dragon Flies,1975
MOVIE,The Man from Hong Kong,1975
MOVIE,The Passenger,1975
MOVIE,The Stepford Wives,1975
MOVIE,The Streetfighter,1975
MOVIE,Three Days of the Condor,1975
MOVIE,Thundercrack!,1975
MOVIE,Welcome Home Brother Charles,1975
MOVIE,Winstanley,1975
MOVIE,"Alice, Sweet Alice",1976
MOVIE,Assault on Precinct 13,1976
MOVIE,Black Sister's Revenge,1976
MOVIE,Blood Sucking Freaks,1976
MOVIE,Crazed Beast,1976
MOVIE,Embryo,1976
MOVIE,Emma Mae,1976
MOVIE,God Told Me To,1976
MOVIE,Heart of Glass,1976
MOVIE,Hollywood Boulevard,1976
MOVIE,How Much Wood Would a Woodchuck Chuck,1976
MOVIE,In the Realm of the Senses,1976
MOVIE,Keoma,1976
MOVIE,Kings of the Road,1976
MOVIE,Kurutta yaju,1976
MOVIE,Land of the Minotaur,1976
MOVIE,Logan's Run,1976
MOVIE,Mad Dog Morgan,1976
MOVIE,Mansion of the Doomed,1976
MOVIE,Massacre at Central High,1976
MOVIE,"Minotaur, The Mask of the Demons",1976
MOVIE,Noboru Ando's Chronicle of Fugitive Days and Sex,1976
MOVIE,"Rome, Armed to the Teeth",1976
MOVIE,Salon Kitty,1976
MOVIE,Savage Beast Goes Mad,1976
MOVIE,SCUM Manifesto,1976
MOVIE,Sebastiane,1976
MOVIE,Silent Movie,1976
MOVIE,Snuff,1976
MOVIE,Squirm,1976
MOVIE,The Big Racket,1976
MOVIE,The Blank Generation,1976
MOVIE,The Devil's Men,1976
MOVIE,The Devil's Playground,1976
MOVIE,The First Nudie Musical,1976
MOVIE,The Great Texas Dynamite Chase,1976
MOVIE,The House with Laughing Windows,1976
MOVIE,The Killing of a Chinese Bookie,1976
MOVIE,The Legend of the Wolf Woman,1976
MOVIE,The Machine Gun Dragon,1976
MOVIE,The Man on the Roof,1976
MOVIE,The Man Who Fell to Earth,1976
MOVIE,The Marriage of Maria Braun,1976
MOVIE,The Message,1976
MOVIE,The Missouri Breaks,1976
MOVIE,The Omen,1976
MOVIE,The Opening of Misty Beethoven,1976
MOVIE,The Pyramid,1976
MOVIE,The Song Remains the Same,1976
MOVIE,The Tough Ones,1976
MOVIE,Tracks,1976
MOVIE,Up!,1976
MOVIE,Werewolf Woman,1976
MOVIE,Yakuza Cruel Secrets - Arm Dismemberment,1976
MOVIE,Airport '77,1977
MOVIE,Andy Warhol's Bad,1977
MOVIE,Audrey Rose,1977
MOVIE,Blue Sunshine,1977
MOVIE,Cross of Iron,1977
MOVIE,Damnation Alley,1977
MOVIE,Day of the Animals,1977
MOVIE,Demon Seed,1977
MOVIE,Der amerikanische Freund,1977
MOVIE,Desperate Living,1977
MOVIE,Dracula's Dog,1977
MOVIE,Emanuelle and the Last Cannibals,1977
MOVIE,Empire of the Ants,1977
MOVIE,Gestapo's Last Orgy,1977
MOVIE,Golgo 13: Assignment Kowloon,1977
MOVIE,Hausu,1977
MOVIE,High Anxiety,1977
MOVIE,Hitler: A Film from Germany,1977
MOVIE,House,1977
MOVIE,Jabberwocky,1977
MOVIE,Kingdom of the Spiders,1977
MOVIE,La Soufrière,1977
MOVIE,Martin,1977
MOVIE,"New York, New York",1977
MOVIE,Opening Night,1977
MOVIE,Our Hitler,1977
MOVIE,Outrageous!,1977
MOVIE,Rabid,1977
MOVIE,Satan's Cheerleaders,1977
MOVIE,Shock Waves,1977
MOVIE,Slap Shot,1977
MOVIE,Sorcerer,1977
MOVIE,Star Wars Episode IV – A New Hope,1977
MOVIE,Suspiria,1977
MOVIE,Sweeney!,1977
MOVIE,Tentacles,1977
MOVIE,The American Friend,1977
MOVIE,The Duellists,1977
MOVIE,The Gauntlet,1977
MOVIE,The Hills Have Eyes,1977
MOVIE,The Incredible Melting Man,1977
MOVIE,The Island of Dr. Moreau,1977
MOVIE,The Last Wave,1977
MOVIE,The Mighty Peking Man,1977
MOVIE,The Squeeze,1977
MOVIE,Trap Them and Kill Them,1977
MOVIE,Twilight's Last Gleaming,1977
MOVIE,Zoltan... Hound of Dracula,1977
MOVIE,Alucarda,1978
MOVIE,Attack of the Killer Tomatoes,1978
MOVIE,Big Wednesday,1978
MOVIE,Capricorn One,1978
MOVIE,Dawn of the Dead,1978
MOVIE,Day of the Woman,1978
MOVIE,Debbie Does Dallas,1978
MOVIE,Drunken Master,1978
MOVIE,Five Deadly Venoms,1978
MOVIE,Game of Death,1978
MOVIE,Goin' South,1978
MOVIE,I Spit on Your Grave,1978
MOVIE,Invasion of the Body Snatchers,1978
MOVIE,It Lives Again,1978
MOVIE,Jubilee,1978
MOVIE,Let Me Die a Woman,1978
MOVIE,Message from Space,1978
MOVIE,National Lampoon's Animal House,1978
MOVIE,Nighthawks,1978
MOVIE,Piranha,1978
MOVIE,Pretty Baby,1978
MOVIE,Remember My Name,1978
MOVIE,Sgt. Pepper's Lonely Hearts Club Band,1978
MOVIE,Slithis,1978
MOVIE,Spawn of the Slithis,1978
MOVIE,Straight Time,1978
MOVIE,Sweeney 2,1978
MOVIE,Thank God It's Friday,1978
MOVIE,The 36th Chamber of Shaolin,1978
MOVIE,The Chant of Jimmie Blacksmith,1978
MOVIE,The Driver,1978
MOVIE,The End,1978
MOVIE,The Fury,1978
MOVIE,The Inglorious Bastards,1978
MOVIE,The Lord of the Rings,1978
MOVIE,The Manitou,1978
MOVIE,The Medusa Touch,1978
MOVIE,The Silent Partner,1978
MOVIE,The Swarm,1978
MOVIE,The Toolbox Murders,1978
MOVIE,The Wiz,1978
MOVIE,Caligula,1979
MOVIE,Chilly Scenes of Winter,1979
MOVIE,Fascination,1979
MOVIE,Killer Nun,1979
MOVIE,Life of Brian,1979
MOVIE,Lupin III: The Castle of Cagliostro,1979
MOVIE,Mad Max,1979
MOVIE,Monty Python's Life of Brian,1979
MOVIE,Over the Edge,1979
MOVIE,Phantasm,1979
MOVIE,Prophecy,1979
MOVIE,Quadrophenia,1979
MOVIE,Radio On,1979
MOVIE,Rock 'n' Roll High School,1979
MOVIE,Roller Boogie,1979
MOVIE,Scum,1979
MOVIE,Stalker,1979
MOVIE,Surakksha,1979
MOVIE,That Sinking Feeling,1979
MOVIE,The Brood,1979
MOVIE,The Driller Killer,1979
MOVIE,The Great Rock 'n' Roll Swindle,1979
MOVIE,The Wanderers,1979
MOVIE,The Warriors,1979
MOVIE,Winter Kills,1979
MOVIE,Wise Blood,1979
MOVIE,Yesterday's Hero,1979
MOVIE,Zombi 2,1979
MOVIE,Alligator,1980
MOVIE,Altered States,1980
MOVIE,American Gigolo,1980
MOVIE,Antropophagus,1980
MOVIE,Bad Timing,1980
MOVIE,Can't Stop the Music,1980
MOVIE,Cannibal Holocaust,1980
MOVIE,Carny,1980
MOVIE,City of the Living Dead,1980
MOVIE,Deathquake,1980
MOVIE,Forbidden Zone,1980
MOVIE,He Knows You're Alone,1980
MOVIE,Heaven's Gate,1980
MOVIE,Hell of the Living Dead,1980
MOVIE,Humanoids from the Deep,1980
MOVIE,Inferno,1980
MOVIE,Kagemusha,1980
MOVIE,Lightning Over Water,1980
MOVIE,Little Darlings,1980
MOVIE,Magnitude 7.9,1980
MOVIE,Motel Hell,1980
MOVIE,Mother's Day,1980
MOVIE,Shogun Assassin,1980
MOVIE,Star Wars Episode V – The Empire Strikes Back,1980
MOVIE,Stardust Memories,1980
MOVIE,The Boogey Man,1980
MOVIE,The Clones of Bruce Lee,1980
MOVIE,The Club,1980
MOVIE,The Gods Must Be Crazy,1980
MOVIE,The House on the Edge of the Park,1980
MOVIE,The Long Good Friday,1980
MOVIE,The Long Riders,1980
MOVIE,The Ninth Configuration,1980
MOVIE,Tusk,1980
MOVIE,When Time Ran Out,1980
MOVIE,Xanadu,1980
MOVIE,Angel of Vengeance,1981
MOVIE,Blow Out,1981
MOVIE,Body Heat,1981
MOVIE,"Butcher, Baker, Nightmare Maker",1981
MOVIE,Cannibal Ferox,1981
MOVIE,Chashme Buddoor,1981
MOVIE,Christiane F.,1981
MOVIE,Coup de Torchon,1981
MOVIE,Cutter's Way,1981
MOVIE,Dead & Buried,1981
MOVIE,Diva,1981
MOVIE,Escape to Victory,1981
MOVIE,For Y'ur Height Only,1981
MOVIE,Freak Orlando,1981
MOVIE,Heavy Metal,1981
MOVIE,Knightriders,1981
MOVIE,Mad Max 2: The Road Warrior,1981
MOVIE,Ms .45,1981
MOVIE,My Bloody Valentine,1981
MOVIE,Nightmare,1981
MOVIE,Outland,1981
MOVIE,Polyester,1981
MOVIE,Possession,1981
MOVIE,Roar,1981
MOVIE,Roaring Fire,1981
MOVIE,Scanners,1981
MOVIE,Silsila,1981
MOVIE,Southern Comfort,1981
MOVIE,Student Bodies,1981
MOVIE,Tales of Ordinary Madness,1981
MOVIE,The Beyond,1981
MOVIE,The Evil Dead,1981
MOVIE,The House by the Cemetery,1981
MOVIE,The Howling,1981
MOVIE,The Loveless,1981
MOVIE,The Pit,1981
MOVIE,The Postman Always Rings Twice,1981
MOVIE,The Prowler,1981
MOVIE,The Road Warrior,1981
MOVIE,Under the Rainbow,1981
MOVIE,Unico,1981
MOVIE,Wolfen,1981
MOVIE,A Question of Silence,1982
MOVIE,Alone in the Dark,1982
MOVIE,An Inspector Calls,1982
MOVIE,Annie,1982
MOVIE,Basket Case,1982
MOVIE,Blood Camp Thatcher,1982
MOVIE,Britannia Hospital,1982
MOVIE,Burden of Dreams,1982
MOVIE,Café Flesh,1982
MOVIE,Dead Men Don't Wear Plaid,1982
MOVIE,Der Fan,1982
MOVIE,Eating Raoul,1982
MOVIE,Endangered Species,1982
MOVIE,Escape 2000,1982
MOVIE,Fitzcarraldo,1982
MOVIE,Grease 2,1982
MOVIE,La Morte Vivante,1982
MOVIE,Labyrinth of Passion,1982
MOVIE,"Ladies and Gentlemen, The Fabulous Stains",1982
MOVIE,Legend of a Fighter,1982
MOVIE,Liquid Sky,1982
MOVIE,Midnight,1982
MOVIE,Moonlighting,1982
MOVIE,One from the Heart,1982
MOVIE,Personal Best,1982
MOVIE,Pink Floyd – The Wall,1982
MOVIE,Q – The Winged Serpent,1982
MOVIE,Querelle,1982
MOVIE,Smithereens,1982
MOVIE,Swamp Thing,1982
MOVIE,Tenebrae,1982
MOVIE,The Beast Within,1982
MOVIE,The Draughtsman's Contract,1982
MOVIE,The King of Comedy,1982
MOVIE,The Last Unicorn,1982
MOVIE,The Living Dead Girl,1982
MOVIE,The Night of the Shooting Stars,1982
MOVIE,Turkey Shoot,1982
MOVIE,Vincent,1982
MOVIE,White Dog,1982
MOVIE,Amityville 3-D,1983
MOVIE,Blood Simple,1983
MOVIE,Born in Flames,1983
MOVIE,Chained Heat,1983
MOVIE,Christine,1983
MOVIE,Danton,1983
MOVIE,Dark Habits,1983
MOVIE,Jaane Bhi Do Yaaro,1983
MOVIE,Jaws 3-D,1983
MOVIE,Katha,1983
MOVIE,Krull,1983
MOVIE,Never Cry Wolf,1983
MOVIE,Rumble Fish,1983
MOVIE,Sans Soleil,1983
MOVIE,Sleepaway Camp,1983
MOVIE,Something Wicked This Way Comes,1983
MOVIE,Star Wars Episode VI – Return of the Jedi,1983
MOVIE,Strange Brew,1983
MOVIE,The 4th Man,1983
MOVIE,The Fourth Man,1983
MOVIE,The Hunger,1983
MOVIE,The Keep,1983
MOVIE,The Man with Two Brains,1983
MOVIE,The Moon in the Gutter,1983
MOVIE,The Outsiders,1983
MOVIE,The Wounded Man,1983
MOVIE,Valley Girl,1983
MOVIE,Videodrome,1983
MOVIE,Wild Style,1983
MOVIE,Bolero,1984
MOVIE,Breakin,1984
MOVIE,Breakin' 2: Electric Boogaloo,1984
MOVIE,Choose Me,1984
MOVIE,Dreamscape,1984
MOVIE,Heimat,1984
MOVIE,L'addition,1984
MOVIE,Love Streams,1984
MOVIE,Nausicaä of the Valley of the Wind,1984
MOVIE,Night of the Comet,1984
MOVIE,Nothing Lasts Forever,1984
MOVIE,Once Upon a Time in America,1984
MOVIE,One Hundred Days in Palermo,1984
MOVIE,"Paris, Texas",1984
MOVIE,Purana Mandir,1984
MOVIE,Razorback,1984
MOVIE,Repo Man,1984
MOVIE,Streets of Fire,1984
MOVIE,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984
MOVIE,The Brother from Another Planet,1984
MOVIE,The Company of Wolves,1984
MOVIE,The Cotton Club,1984
MOVIE,The Toxic Avenger,1984
MOVIE,The Wannsee Conference,1984
MOVIE,Top Secret!,1984
MOVIE,Voyage of the Rock Aliens,1984
MOVIE,A Chorus Line,1985
MOVIE,A Nightmare on Elm Street 2: Freddy's Revenge,1985
MOVIE,After Hours,1985
MOVIE,Better Off Dead,1985
MOVIE,Clue,1985
MOVIE,Come and See,1985
MOVIE,Crimewave,1985
MOVIE,Day of the Dead,1985
MOVIE,Desert Hearts,1985
MOVIE,Flesh and Blood,1985
MOVIE,Fright Night,1985
MOVIE,King Solomon's Mines,1985
MOVIE,Legend,1985
MOVIE,Lifeforce,1985
MOVIE,Mishima: A Life in Four Chapters,1985
MOVIE,New Wave Hookers,1985
MOVIE,Pee-wee's Big Adventure,1985
MOVIE,Perfect,1985
MOVIE,Police,1985
MOVIE,Pulgasari,1985
MOVIE,Re-Animator,1985
MOVIE,Rendez-vous,1985
MOVIE,Shoah,1985
MOVIE,Subway,1985
MOVIE,Tampopo,1985
MOVIE,The Falcon and the Snowman,1985
MOVIE,The Last Dragon,1985
MOVIE,The Quiet Earth,1985
MOVIE,The Return of the Living Dead,1985
MOVIE,The Time to Live and the Time to Die,1985
MOVIE,Transylvania 6-5000,1985
MOVIE,Warning Sign,1985
MOVIE,9½ Weeks,1986
MOVIE,A Better Tomorrow,1986
MOVIE,Andheri Raat Mein Diya Tere Haath Mein,1986
MOVIE,At Close Range,1986
MOVIE,Betty Blue,1986
MOVIE,Big Trouble in Little China,1986
MOVIE,Caravaggio,1986
MOVIE,Castle in the Sky,1986
MOVIE,Cat City,1986
MOVIE,Chameli Ki Shaadi,1986
MOVIE,"Com Licença, Eu Vou à Luta",1986
MOVIE,Down By Law,1986
MOVIE,Ginger and Fred,1986
MOVIE,Gothic,1986
MOVIE,Henry: Portrait of a Serial Killer,1986
MOVIE,Little Shop of Horrors,1986
MOVIE,Mala Noche,1986
MOVIE,Man Facing Southeast,1986
MOVIE,Manhunter,1986
MOVIE,Sid & Nancy,1986
MOVIE,Something Wild,1986
MOVIE,Street of Crocodiles,1986
MOVIE,The Hitcher,1986
MOVIE,The Transformers: The Movie,1986
MOVIE,True Stories,1986
MOVIE,Vamp,1986
MOVIE,A Chinese Ghost Story,1987
MOVIE,Amazon Women on the Moon,1987
MOVIE,Amerika,1987
MOVIE,Angel Heart,1987
MOVIE,Bad Taste,1987
MOVIE,Bagdad Cafe,1987
MOVIE,Barfly,1987
MOVIE,Candy Mountain,1987
MOVIE,City on Fire,1987
MOVIE,Cobra Verde,1987
MOVIE,Evil Dead II,1987
MOVIE,Hellraiser,1987
MOVIE,House of Games,1987
MOVIE,Ishtar,1987
MOVIE,King Lear,1987
MOVIE,Miami Connection,1987
MOVIE,Mr. India,1987
MOVIE,Near Dark,1987
MOVIE,Nekromantik,1987
MOVIE,Prince of Darkness,1987
MOVIE,Spaceballs,1987
MOVIE,Superman,1987
MOVIE,Superstar: The Karen Carpenter Story,1987
MOVIE,The Believers,1987
MOVIE,The Brave Little Toaster,1987
