mediaType,title,year
MOVIE,The Wicked Lady,1945
MOVIE,War Comes to America,1945
MOVIE,Ziegfeld Follies,1945
MOVIE,A Matter of Life and Death,1946
MOVIE,Beauty and the Beast,1946
MOVIE,Duel in the Sun,1946
MOVIE,Lady in the Lake,1946
MOVIE,Shock,1946
MOVIE,Song of the South,1946
MOVIE,The Beast with Five Fingers,1946
MOVIE,The Locket,1946
MOVIE,The Strange Love of Martha Ivers,1946
MOVIE,The Stranger,1946
MOVIE,Black Narcissus,1947
MOVIE,Body and Soul,1947
MOVIE,Build My Gallows High,1947
MOVIE,Forever Amber,1947
MOVIE,It Always Rains on Sunday,1947
MOVIE,Jassy,1947
MOVIE,Monsieur Verdoux,1947
MOVIE,Nightmare Alley,1947
MOVIE,Odd Man Out,1947
MOVIE,Pursued,1947
MOVIE,The Bishop's Wife,1947
MOVIE,The Cat Concerto,1947
MOVIE,The Ghost and Mrs. Muir,1947
MOVIE,Unconquered,1947
MOVIE,Abbott and Costello Meet Frankenstein,1948
MOVIE,Bicycle Thieves,1948
MOVIE,Blonde Ice,1948
MOVIE,Drunken Angel,1948
MOVIE,Easter Parade,1948
MOVIE,Rope,1948
MOVIE,The Pirate,1948
MOVIE,The Red Shoes,1948
MOVIE,The Snake Pit,1948
MOVIE,I Was a Male War Bride,1949
MOVIE,Kind Hearts and Coronets,1949
MOVIE,Passport to Pimlico,1949
MOVIE,Samson and Delilah,1949
MOVIE,Stray Dog,1949
MOVIE,The Bribe,1949
MOVIE,The Fountainhead,1949
MOVIE,The Lady Gambles,1949
MOVIE,The Set-Up,1949
MOVIE,Whisky Galore!,1949
MOVIE,Destination Moon,1950
MOVIE,Night and the City,1950
MOVIE,Orpheus,1950
MOVIE,Rabbit's Moon,1950
MOVIE,The Blue Lamp,1950
MOVIE,Bedtime for Bonzo,1951
MOVIE,Claws of Iron,1951
MOVIE,Day of the Fight,1951
MOVIE,Diary of a Country Priest,1951
MOVIE,He Ran All the Way,1951
MOVIE,Lost Continent,1951
MOVIE,Superman and the Mole Men,1951
MOVIE,Tetsu no tsume,1951
MOVIE,The Idiot,1951
MOVIE,The Man from Planet X,1951
MOVIE,The Steel Helmet,1951
MOVIE,Tom Brown's Schooldays,1951
MOVIE,Bela Lugosi Meets a Brooklyn Gorilla,1952
MOVIE,Son of Paleface,1952
MOVIE,The Crimson Pirate,1952
MOVIE,The Holly and the Ivy,1952
MOVIE,Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,1953
MOVIE,Beat the Devil,1953
MOVIE,Cat-Women of the Moon,1953
MOVIE,Cosh Boy,1953
MOVIE,Dangerous When Wet,1953
MOVIE,Donovan's Brain,1953
MOVIE,Duck Amuck,1953
MOVIE,Duck Dodgers in the 24½th Century,1953
MOVIE,Gentlemen Prefer Blondes,1953
MOVIE,Glen or Glenda,1953
MOVIE,Mesa of Lost Women,1953
MOVIE,Phantom from Space,1953
MOVIE,Robot Monster,1953
MOVIE,"The 5,000 Fingers of Dr. T.",1953
MOVIE,The Bigamist,1953
MOVIE,The Wages of Fear,1953
MOVIE,The Wild One,1953
MOVIE,Tokyo Story,1953
MOVIE,"20,000 Leagues Under the Sea",1954
MOVIE,Beau Brummell,1954
MOVIE,Creature from the Black Lagoon,1954
MOVIE,Dial M for Murder,1954
MOVIE,Girl Gang,1954
MOVIE,Godzilla,1954
MOVIE,Grisbi,1954
MOVIE,Honour Among Thieves,1954
MOVIE,Inauguration of the Pleasure Dome,1954
MOVIE,Jail Bait,1954
MOVIE,Killers from Space,1954
MOVIE,Suddenly,1954
MOVIE,"Taza, Son of Cochise",1954
MOVIE,"The Beast from 20,000 Fathoms",1954
MOVIE,The Belles of St. Trinian's,1954
MOVIE,The Silver Chalice,1954
MOVIE,Them!,1954
MOVIE,Touchez pas au grisbi,1954
MOVIE,Un chant d'amour,1954
MOVIE,Bride of the Monster,1955
MOVIE,Cinerama Holiday,1955
MOVIE,Day the World Ended,1955
MOVIE,Half Human,1955
MOVIE,It Came from Beneath the Sea,1955
MOVIE,Land of the Pharaohs,1955
MOVIE,Les Diaboliques,1955
MOVIE,Lola Montès,1955
MOVIE,Ordet,1955
MOVIE,Pather Panchali,1955
MOVIE,Rififi,1955
MOVIE,Shack Out on 101,1955
MOVIE,Sissi,1955
MOVIE,Tarantula,1955
MOVIE,Teaserama,1955
MOVIE,The Big Combo,1955
MOVIE,The Big Knife,1955
MOVIE,The Creeping Unknown,1955
MOVIE,The Criminal Life of Archibaldo de la Cruz,1955
MOVIE,The Quatermass Xperiment,1955
MOVIE,This Island Earth,1955
MOVIE,A Man Escaped,1956
MOVIE,And God Created Woman,1956
MOVIE,Bob le flambeur,1956
MOVIE,Earth vs. the Flying Saucers,1956
MOVIE,"Godzilla, King of the Monsters!",1956
MOVIE,It Conquered the World,1956
MOVIE,La Sorcière,1956
MOVIE,"Liane, Jungle Goddess",1956
MOVIE,Love Me Tender,1956
MOVIE,Rock Around the Clock,1956
MOVIE,"Rock, Rock, Rock!",1956
MOVIE,"Shake, Rattle & Rock!",1956
MOVIE,Sissi – The Young Empress,1956
MOVIE,The Case of the Mukkinese Battle-Horn,1956
MOVIE,The Gamma People,1956
MOVIE,The Girl Can't Help It,1956
MOVIE,The Killing,1956
MOVIE,The Man in the Gray Flannel Suit,1956
MOVIE,The Wormwood Star,1956
MOVIE,Yield to the Night,1956
MOVIE,Attack of the Crab Monsters,1957
MOVIE,Fear Strikes Out,1957
MOVIE,Forty Guns,1957
MOVIE,I Was a Teenage Werewolf,1957
MOVIE,Invasion of the Saucer Men,1957
MOVIE,Monster from Green Hell,1957
MOVIE,Night of the Demon,1957
MOVIE,Nights of Cabiria,1957
MOVIE,Run of the Arrow,1957
MOVIE,Sissi – Fateful Years of an Empress,1957
MOVIE,The 27th Day,1957
MOVIE,The Amazing Colossal Man,1957
MOVIE,The Brain from Planet Arous,1957
MOVIE,The Cranes Are Flying,1957
MOVIE,The Curse of Frankenstein,1957
MOVIE,The Dead That Walk,1957
MOVIE,The Giant Claw,1957
MOVIE,The Man Who Turned to Stone,1957
MOVIE,The Monster That Challenged the World,1957
MOVIE,The Mysterians,1957
MOVIE,The Seventh Seal,1957
MOVIE,The Story of Mankind,1957
MOVIE,The Tarnished Angels,1957
MOVIE,The Unearthly,1957
MOVIE,"What's Opera, Doc?",1957
MOVIE,Yantra,1957
MOVIE,Zombies of Mora Tau,1957
MOVIE,A Time to Love and a Time to Die,1958
MOVIE,Ashes and Diamonds,1958
MOVIE,Attack of the 50 Foot Woman,1958
MOVIE,"Bell, Book and Candle",1958
MOVIE,Damn Yankees,1958
MOVIE,Fiend Without a Face,1958
MOVIE,Frankenstein's Daughter,1958
MOVIE,Hercules,1958
MOVIE,High School Confidential,1958
MOVIE,I Bury the Living,1958
MOVIE,I Married a Monster from Outer Space,1958
MOVIE,It! The Terror from Beyond Space,1958
MOVIE,"Ivan the Terrible, part II: The Boyars' Plot",1958
MOVIE,Macabre,1958
MOVIE,Machine-Gun Kelly,1958
MOVIE,Man of the West,1958
MOVIE,Panda and the Magic Serpent,1958
MOVIE,Queen of Outer Space,1958
MOVIE,South Pacific,1958
MOVIE,The Blob,1958
MOVIE,The Brain Eaters,1958
MOVIE,The Cool and the Crazy,1958
MOVIE,The Fly,1958
MOVIE,The Hidden Fortress,1958
MOVIE,The Hideous Sun Demon,1958
MOVIE,The Revenge of Frankenstein,1958
MOVIE,The Tale of the White Serpent,1958
MOVIE,The White Snake Enchantress,1958
MOVIE,War of the Colossal Beast,1958
MOVIE,A Bucket of Blood,1959
MOVIE,Attack of the Giant Leeches,1959
MOVIE,Expresso Bongo,1959
MOVIE,First Man into Space,1959
MOVIE,Horrors of the Black Museum,1959
MOVIE,House on Haunted Hill,1959
MOVIE,Kaagaz Ke Phool,1959
MOVIE,Magic Boy,1959
MOVIE,Nazarín,1959
MOVIE,On the Beach,1959
MOVIE,Pickpocket,1959
MOVIE,Plan 9 from Outer Space,1959
MOVIE,Ride Lonesome,1959
MOVIE,Solomon and Sheba,1959
MOVIE,Teenagers from Outer Space,1959
MOVIE,The Angry Red Planet,1959
MOVIE,The Atomic Submarine,1959
MOVIE,The Best of Everything,1959
MOVIE,The Blood Sword of the 99th Virgin,1959
MOVIE,The Ghost of Yotsuya,1959
MOVIE,The Giant Gila Monster,1959
MOVIE,The Immoral Mr. Teas,1959
MOVIE,The Manster,1959
MOVIE,The Tingler,1959
